sample	population	population_proportion
SRR16972315	V7	0.775316
SRR16972316	V7	0.854115
SRR16972317	V7	0.792312
SRR16972318	V7	0.765776
SRR16972319	V7	0.737456
SRR16972320	V6	0.598933
SRR16972321	V7	0.970733
SRR16972322	V7	0.968349
SRR16972323	V7	0.76516
SRR16972324	V10	0.886728
ERR205763	V4	0.477918
ERR205788	V4	0.465389
SRR8608748	V5	0.99989
ERR205787	V5	0.999878
ERR205736	V3	0.858451
ERR205750	V3	0.99989
ERR205751	V3	0.99989
ERR205735	V5	0.99989
ERR205737	V4	0.985388
ERR205760	V4	0.99989
ERR205793	V4	0.99989
ERR205795	V4	0.999888
ERR3550144	V5	0.99989
ERR205768	V4	0.743807
ERR205770	V4	0.650954
ERR205771	V4	0.769753
ERR205786	V4	0.774197
ERR205799	V4	0.863477
ERR205738	V4	0.835074
ERR271200	V4	0.958535
ERR013294	V6	0.554956
ERR230187	V4	0.757734
ERR230188	V4	0.776549
ERR3550118	V5	0.999888
ERR3550132	V5	0.99989
SRR6369628	V4	0.871999
SRR6369636	V4	0.536011
SRR12506675	V4	0.536016
SRR12506676	V4	0.587288
ERR205759	V8	0.52809
ERR205785	V8	0.695685
ERR230189	V8	0.747041
ERR230190	V8	0.741535
ERR230193	V8	0.727932
ERR230194	V4	0.725457
ERR304752	V8	0.741727
ERR304753	V3	0.999889
ERR3550152	V8	0.99989
ERR205739	V8	0.64311
ERR205797	V8	0.59319
ERR3550134	V5	0.552519
ERR524883	V4	0.535205
ERR3550142	V8	0.999889
SRR6369631	V4	0.99989
SRR11098642	V8	0.986759
SRR11098643	V8	0.99989
SRR11098644	V8	0.999886
SRR11098645	V8	0.868506
SRR11098646	V8	0.897071
ERR3550127	V12	0.99989
ERR205758	V12	0.99989
