sample	population	population_label
SRR20748443	1	Brazil, Honduras & Colombia Major Cluster
SRR20748442	1	Brazil, Honduras & Colombia Major Cluster
SRR20748441	1	Brazil, Honduras & Colombia Major Cluster
SRR20748440	1	Brazil, Honduras & Colombia Major Cluster
SRR20748439	1	Brazil, Honduras & Colombia Major Cluster
SRR20748437	1	Brazil, Honduras & Colombia Major Cluster
SRR20748436	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748435	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748434	1	Brazil, Honduras & Colombia Major Cluster
SRR20748433	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748432	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748431	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748430	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748429	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748428	1	Brazil, Honduras & Colombia Major Cluster
SRR20748425	1	Brazil, Honduras & Colombia Major Cluster
SRR20748424	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748423	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748422	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748421	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748420	1	Brazil, Honduras & Colombia Major Cluster
SRR20748419	1	Brazil, Honduras & Colombia Major Cluster
SRR20748417	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748383	1	Brazil, Honduras & Colombia Major Cluster
SRR20748380	10	Brazil-Paraguay Major Cluster
SRR20748379	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748374	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748372	1	Brazil, Honduras & Colombia Major Cluster
SRR20748370	1	Brazil, Honduras & Colombia Major Cluster
SRR20748369	1	Brazil, Honduras & Colombia Major Cluster
SRR20748367	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748366	1	Brazil, Honduras & Colombia Major Cluster
SRR20748365	1	Brazil, Honduras & Colombia Major Cluster
SRR20748364	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748363	1	Brazil, Honduras & Colombia Major Cluster
SRR20748358	1	Brazil, Honduras & Colombia Major Cluster
SRR20748357	1	Brazil, Honduras & Colombia Major Cluster
SRR20748355	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748354	1	Brazil, Honduras & Colombia Major Cluster
SRR20748353	1	Brazil, Honduras & Colombia Major Cluster
SRR20748324	1	Brazil, Honduras & Colombia Major Cluster
SRR20748322	1	Brazil, Honduras & Colombia Major Cluster
SRR20748321	1	Brazil, Honduras & Colombia Major Cluster
SRR20748310	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748451	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748450	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748448	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748447	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748445	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748463	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
SRR20748453	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
SRR20748472	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
SRR20748470	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
SRR20748469	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
SRR20748480	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748452	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748468	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
SRR20748465	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748337	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748477	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
SRR20748475	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748331	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR20748479	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR7970013	12	Brazil, Honduras & Panama Major Cluster 2
SRR7970015	12	Brazil, Honduras & Panama Major Cluster 2
